SMILES,chiral,mol_weight,polarizability,dipole
CCCCCOC(=O)C,0,130.18,14.7,1.72495546942
c1ccncc1,0,79.1,9.36,2.22340244143
CCCCC(=O)C,0,100.16,12.06,2.70328369275
CCCC(=O)C,0,86.13,10.08,2.94845403954
CCCOCCC,0,102.17,12.71,1.10770441236
CCCOC(=O)C,0,102.13,10.9,2.08619116063
C1COCCN1C=O,0,115.13,11.74,3.00701482552
C1CC(=O)OC1,0,86.09,8.02,4.56730727629
CC(C)OC(C)C,0,102.17,12.6,1.25509761604
CCC(C)CO,1,88.15,10.56,1.34914364476
CCCC(C)O,1,88.15,10.76,1.67149372113
CC(=O)c1ccccc1,0,120.15,14.76,3.09720467609
C=CCO,0,58.08,6.81,1.50773931485
C(=O)N,0,45.04,4.2,3.86907538772
CCC(C)(C)O,0,88.15,10.62,1.59089980468
C1CCOCC1,0,86.13,9.73,1.43807745852
CCCCCl,0,92.57,10.07,2.03064026419
CC(C)CC(=O)C,0,100.16,12.06,2.5942712357
CC#N,0,41.05,4.4,3.98989275408
COc1ccccc1,0,108.14,13.19,1.3100191344
c1ccc(cc1)CO,0,108.14,13.06,1.52892534785
CCCC#N,0,69.11,8.11,4.08582099231
C(=S)=S,0,76.14,7.91,6.27978496757e-09
CS(=O)C,0,79.14,8.2,3.78983838466
C1CCC(=O)OCC1,0,114.14,11.77,4.76698547727
c1ccc(cc1)[N+](=O)[O-],0,123.11,13.11,4.54241032133
C[N+](=O)[O-],0,61.04,4.87,3.43125982189
CCC#N,0,55.08,6.29,4.09764443236
CCN(CC)CC,0,101.19,13.78,0.424359274104
CC(C)OCCO,0,104.15,11.61,1.38284800686
CCCOCCO,0,104.15,11.46,2.36839857399
CC(C)(C)OC,0,88.15,10.64,1.1989827356
CCC(C)(C)OC,0,102.17,12.43,1.21682738102
Cc1ccccn1,0,93.13,11.56,1.83268575344
CCBr,0,108.97,7.0,2.10908618277
CCOc1ccccc1,0,122.16,15.31,1.45051220937
Cc1cccc(c1)O,0,108.14,13.19,1.59523069676
CC[N+](=O)[O-],0,75.07,6.7,3.6277709221
c1(c(c(c(c(c1F)F)F)F)F)F,0,186.05,11.11,1.1354407952900002e-12
CCCCOCC,0,102.17,12.69,1.07038522567
CCCCOC,0,88.15,10.9,0.994317682187
CCOC(C)(C)C,0,102.17,12.63,1.12967190353
CCCCCC(=O)C,0,114.19,13.95,2.85530711888
CCCOCC,0,88.15,10.82,1.08332136921
CCC(=O)CC,0,86.13,10.08,2.70396838651
CCCCCCOC(=O)C,0,144.21,16.47,1.9314464709
CC(C)OC(=O)C,0,102.13,10.96,1.95831802106
CCCC(=O)OCC,0,116.16,12.92,1.81228115395
CC(C)CC(C)O,1,102.17,12.56,1.72536752464
CCCCC(C)O,1,102.17,12.73,1.48593144922
CCCC(CC)O,1,102.17,12.34,1.75476814664
CCCCCC(C)O,1,116.2,14.6,1.70905824229
CCCC(CCC)O,0,116.2,14.28,1.77377627032
CCCCC(CCC)O,1,130.23,16.41,1.58677289366
CCCOC,0,74.12,8.98,1.00601286773
CC(C)OC,0,74.12,8.92,1.17126510163
CCCC(=O)CC,0,100.16,11.87,2.89074584802
CCCCCCCOC(=O)C,0,158.24,18.45,1.88744347523
CCCCCC(=O)OCC,0,144.21,16.72,1.82164369005
[He],0,4.0,0.22,2.17348371433e-15
[Ne],0,20.18,0.45,1.64000473796e-14
[Ar],0,39.95,1.28,3.41937504172e-14
[Kr],0,83.8,2.01,7.37471222757e-13
[Xe],0,131.29,3.53,6.52795470199e-13
[Rn],0,222.0,4.27,1.82987210176e-11
[HH],0,4.03,0.72,3.94644958499e-15
O=O,0,32.0,1.51,1.58468492416e-09
N#N,0,28.01,1.73,9.40441019553e-11
[N-]=[N+]=O,0,44.01,2.86,0.136874172323
[C-]#[O+],0,28.01,1.92,0.200964783735
C(=O)=O,0,44.01,2.53,7.74369860928e-10
O=S=O,0,64.06,3.78,1.54856664118
C,0,16.04,2.47,3.56295198044e-05
CC,0,30.07,4.32,1.0444528955e-13
CCC,0,44.1,6.21,0.0972711897949
CCCC,0,58.12,8.11,7.20326368686e-05
CC(C)C,0,58.12,8.12,0.147914395843
CC(C)(C)C,0,72.15,10.0,0.000248179689153
CCCC(C)C,0,86.18,11.79,0.185659614721
CC(C)CC(C)C,0,100.2,13.71,0.135020968131
CC(C)C(C)C(C)C,0,114.23,15.31,0.17196740551
CCC(CC)(CC)CC,0,128.26,17.07,0.0187314895984
C1CCCC1,0,70.13,9.05,0.0271421913167
C1CCCCC1,0,84.16,10.88,1.42566392226e-13
CCC1CCCCC1,0,112.21,14.52,0.0637951928696
C=C,0,28.05,3.97,1.3757077195600006e-12
CC=C,0,42.08,5.92,0.412362536369
C/C=C/C,0,56.11,7.93,0.000108452425339
C/C=C\C,0,56.11,7.8,0.345369397364
C=CC=C,0,54.09,8.34,2.82095355982e-10
C#C,0,26.04,3.19,3.29167157191e-10
C(F)(F)(F)F,0,88.0,3.01,9.07505978944e-05
CCCl,0,64.51,6.34,2.08867403432
C=C(Cl)Cl,0,96.94,8.18,1.19800756289
CI,0,141.94,6.39,1.67851758074
CCI,0,155.97,8.67,2.04537306342
CC(F)F,0,66.05,4.56,2.24518669026
COC,0,46.07,5.16,1.17305943389
CCC=O,0,58.08,6.47,2.90032095677
CCCC=O,0,72.11,8.31,2.93190214085
CCCCC=O,0,86.13,10.31,3.13157339929
CCCC(=O)CCC,0,114.19,13.92,2.85352023593
CCC(=O)OC,0,88.11,8.91,1.92843675903
CCCC(=O)OC,0,102.13,10.94,1.68661299031
CCCCC(=O)OC,0,116.16,12.83,1.65931660427
CCCCCC(=O)OC,0,130.18,14.36,1.81697387343
N,0,17.03,2.03,1.5181638137
CNC,0,45.08,5.84,0.919739427585
CCNCC,0,73.14,9.66,0.887424354126
O,0,18.02,1.36,1.84938288657
C(C(F)(F)F)O,0,100.04,5.35,3.28432684661
C(C(F)(F)F)(C(F)(F)F)O,0,168.04,7.5,0.55529126683
CCS,0,62.13,7.37,1.62256586112
FS(F)(F)(F)(F)F,0,146.06,4.89,0.00179945225402
c1ccccc1,0,78.11,10.08,1.2692195524400001e-12
CCCc1ccccc1,0,120.19,16.02,0.431077779748
CC(C)c1ccccc1,0,120.19,16.1,0.404739796794
CCCCc1ccccc1,0,134.22,17.86,0.404679403698
CC(C)(C)c1ccccc1,0,134.22,17.93,0.429627205458
CCCCCCc1ccccc1,0,162.27,21.84,0.356296922268
[N]=O,0,30.01,1.6,0.230563595235
CCCCCCCCCCCCCCCCCC,0,254.49,,0.110055078421
CCCCCCCCCCCCCCCCCCC,0,268.52,,0.141180797186
CCCCCCCCCCCCCCCCCCCC,0,282.55,,0.0619961383981
CC(C)I,0,169.99,10.85,2.26472757144
CN(C)C,0,59.11,7.95,0.40843519513
CCC(C)CCC(C)C,1,128.26,17.28,0.187152875585
C1CC1,0,42.08,5.44,7.34547291755e-05
C1CCCCCC1,0,98.19,12.68,0.012935673357
CCC=C,0,56.11,7.96,0.446196098374
CC(=C)C,0,56.11,7.88,0.595338404439
CF,0,34.03,2.56,1.77651441874
CC(C)(C)Cl,0,92.57,10.12,2.24874725819
CC(C)(C)Br,0,137.02,11.03,2.3674517561
C(C(F)(Cl)Cl)(F)(Cl)Cl,0,203.83,12.6,0.666174470102
CC(=O)CC(=O)C,0,100.12,10.59,4.5251141789
COC(=O)OC,0,90.08,7.76,0.429577730506
C[Sn](C)(C)C,0,178.84,14.33,0.000412115301995
CC[Pb](CC)(CC)CC,0,323.44,23.93,0.000925288397165
c1ccc(cc1)CCl,0,126.58,14.57,2.10086853627
c1ccc(cc1)CBr,0,171.03,15.58,2.15415083011
Cc1cccnc1,0,93.13,11.49,2.44583441601
c1ccsc1,0,84.14,9.31,0.449096034944
[2H][2H],0,4.03,0.72,3.94644958499e-15
CCC(C)CC,0,86.18,11.69,0.115678716845
CCC(C)(C)C,0,86.18,11.76,0.0637640054956
CC(C)C(C)C,0,86.18,11.7,0.156785722402
CCCC=C,0,70.13,9.9,0.470631222168
CC(C)C=C,0,70.13,9.89,0.399317202279
CCCCC=C,0,84.16,11.77,0.506178655904
CC(=C)C=C,0,68.12,9.76,0.444189913822
CCCCl,0,78.54,8.15,2.08022651715
C=CC=O,0,56.06,6.44,3.29628619275
CN,0,31.06,3.83,1.28033263013
CC[Sn](CC)(CC)CC,0,234.95,21.86,0.140663930841
CC1CCCC1,0,84.16,10.97,0.107289185631
CCCCCC=C,0,98.19,13.84,0.508707342208
CCCCBr,0,137.02,10.99,2.32173710336
C1CCC(CC1)O,0,100.16,11.67,1.80908727346
C(CCl)O,0,80.51,7.08,2.87001354603
C(CCl)C(O)Cl,1,128.99,10.94,2.963884482
CCCCCCCCCCCCCCCCCCCCCCCC,0,338.65,,0.0474280138958
CC(C)CCC(C)C,0,114.23,15.67,0.179372633634
CC(Cl)(Cl)Cl,0,133.4,10.45,1.79977389119
CCOC=O,0,74.08,7.06,2.01399562242
[cH-]1cccc1.[cH-]1cccc1.[Fe+2],1,186.03,18.74,0.00176358741632
c1ccc(cc1)/C=C/c2ccccc2,0,180.25,29.76,0.000157289379054
CCCCCCCCCCCCCCCCCCCCCCC,0,324.63,,0.0684806475858
CCC(C)C,0,72.15,9.95,0.105243163317
CC=C(C)C,0,70.13,9.76,0.231967472856
CCc1ccc(cc1)CC,0,134.22,18.51,0.0787887050883
CCCCCCC=C,0,112.21,15.53,0.399641787991
CCCCCCCC=C,0,126.24,17.37,0.593788202352
C1CCC=CC1,0,82.14,10.62,0.388306143961
CCl,0,50.49,4.38,1.86909939912
CC(Cl)Cl,0,98.96,8.41,2.04953728342
C(C(Cl)Cl)Cl,0,133.4,10.5,1.19370948231
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0,236.74,16.31,3.89164656839e-12
CC(CCl)Cl,1,112.99,10.21,2.94569564767
C(=C\Cl)\Cl,0,96.94,8.12,1.73016310026
C(=C(Cl)Cl)Cl,0,131.39,10.43,0.772959536529
C(=C(Cl)Cl)(Cl)Cl,0,165.83,12.56,3.8459478365000004e-13
C(Br)Br,0,173.83,7.74,1.41143742958
C(Cl)(Br)Br,0,208.28,10.05,0.907667592267
CC(C)COCC(C)C,0,130.23,16.61,0.747852667399
CCCCCOCCCCC,0,158.28,20.49,1.07429645889
CC(C)C(=O)C,0,86.13,10.12,2.76875886431
C1CCC(=O)C1,0,84.12,9.25,3.12512003314
COC=O,0,60.05,5.2,1.90674801677
CCCOC=O,0,88.11,8.91,2.03317141815
CC(C)CCOC(=O)C,0,130.18,14.7,2.00526384918
CCC(=O)OCC,0,102.13,10.82,1.69355250709
CC(C)C#N,0,69.11,8.17,4.11834557254
CCCCC#N,0,83.13,9.92,4.05126719043
CCCCCC#N,0,97.16,12.04,4.43920423591
CCCCN,0,73.14,9.55,1.22248481163
CCCNCCC,0,101.19,13.3,0.848588923387
CCC[N+](=O)[O-],0,89.09,8.47,3.66082175629
CCCCCCCCCCCCCCCCO,0,242.44,,1.43621169644
CCCCCCCCCCCCCCCCCCO,0,270.49,,1.61739021482
CCCCCCCCCCCCCCCCCCCCO,0,298.55,,1.96818129908
C1CCNCC1,0,85.15,10.51,1.14266548693
CN1CCCC1,0,85.15,10.48,0.887754888443
C1CCNC1,0,71.12,8.68,1.23807642497
c1cc(cc(c1)Cl)Cl,0,147.0,14.93,1.52626898745
S,0,34.08,3.51,0.96669703874
CCC/C=C/C,0,84.16,11.99,0.110715669483
CCC/C=C\C,0,84.16,11.89,0.268450997148
CC(=C)CC(C)(C)C,0,112.21,15.3,0.467695266497
c1ccc2ccccc2c1,0,128.17,17.77,3.83787417671e-05
C1CO1,0,44.05,4.26,1.79595993855
II,0,253.81,8.5,6.81403332714e-11
C(CCl)CCl,0,112.99,10.36,1.82301110965
C(CCCl)CCl,0,127.01,12.17,2.89224008791
CCCCCCl,0,106.59,11.89,1.97455099773
CC(=O)C(C)(C)C,0,100.16,11.9,2.68680828428
CCN,0,45.08,5.86,1.25468947877
CCCN,0,59.11,7.61,1.15116792317
CC(C)N,0,59.11,7.73,1.18713126144
CCCC[N+](=O)[O-],0,103.12,10.56,4.00389763516
CSC,0,62.13,7.32,1.52707675794
CC[Si](CC)(CC)CC,0,144.33,19.18,0.0812424792133
[Hg],0,200.59,,
c1ccc(c(c1)Cl)Cl,0,147.0,14.68,2.28642617785
c1ccc(cc1)C=O,0,106.12,12.93,3.44874435838
Cc1ccccc1N,0,107.15,14.07,2.08676194981
Cc1ccc(cc1)N,0,107.15,14.27,1.6596106884
C1CCCCCCCCC1,0,140.27,18.12,6.1363990474e-06
C1C[C@@H]2[C@@H](CCCC2)CC1,1,138.25,17.4,0.043059857379
CCF,0,48.06,4.43,1.92779872395
C(F)(F)(Cl)Cl,0,120.91,6.8,0.397996466591
C(F)(F)(F)Cl,0,104.46,4.87,0.353829557611
CCCCCCC(=O)C,0,128.21,15.85,2.70886069728
CCC(C)N,1,73.14,9.43,1.22414339597
CCCCCN,0,87.16,11.25,1.33461313688
CCCCCCN,0,101.19,13.19,1.21428879055
CCCCCCCN,0,115.22,15.28,1.32827449624
CCCCCCCCN,0,129.24,16.97,1.2607282053
CCCCNCCCC,0,129.24,17.13,0.879785903537
C1CCC(C1)N,0,85.15,10.51,1.19230680243
CC(C)[N+](=O)[O-],0,89.09,8.5,3.7438539426
c1cc(ccc1Cl)Cl,0,147.0,15.01,7.511972047430001e-12
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,0,284.78,24.18,1.12629706333e-11
Cc1ccc(cc1)O,0,108.14,13.22,1.32350280272
c1cc(cc(c1)O)O,0,110.11,11.99,1.24655749969
CCCCC(C)CC,1,114.23,15.68,0.0720569886835
CCCCCC=O,0,100.16,12.14,3.09824740947
CCCC(C)CO,1,102.17,12.51,1.64017854615
CCC(C)CCO,1,102.17,12.5,1.44294092332
CCCC(C)(C)O,0,102.17,12.55,1.61576241703
CCC(C)C(C)O,1,102.17,12.49,1.60981733546
CC(C)CCCO,0,102.17,12.59,1.49456278316
CCC(C(C)C)O,1,102.17,12.42,1.6016251665
CC(C)C(C)(C)O,0,102.17,12.42,1.41245504473
CC(C)(C)CCO,0,102.17,12.49,1.47758200223
CCCC(C)(CC)O,1,116.2,14.23,1.67770343211
CCCC(C(C)C)O,1,116.2,14.32,1.55063407889
CCCC(C)C(C)O,1,116.2,14.33,1.45713718564
CCCCC(C)(C)O,0,116.2,14.32,1.37025837957
CC(C)CCC(C)O,1,116.2,14.4,1.74523893963
CCC(CC)(CC)O,0,116.2,14.15,1.50322469005
CC(CC(C)(C)C)O,1,116.2,14.44,1.42157727272
CCC(C)(C(C)C)O,1,116.2,14.14,1.59008481349
CCC(C(C)(C)C)O,1,116.2,14.2,1.44732337742
c1cc(oc1)C=O,0,96.08,10.16,3.8013179225
Cc1ccc(o1)C=O,0,110.11,12.52,4.68878779469
C(C(Cl)Cl)(Cl)Cl,0,167.85,12.4,1.54497782599
C(=C/Cl)\Cl,0,96.94,8.43,0.00019609292458
C(Br)(Br)Br,0,252.73,10.71,0.844135158259
C(CCl)OCCCl,0,143.01,12.95,2.42477627279
C(CCl)OOOCCCl,0,175.01,15.14,1.7469121412
C=CC#N,0,53.06,6.32,3.91976465247
CC(=O)OCc1ccco1,0,140.14,14.5,2.19019994287
C/C=C\C=C,0,68.12,9.82,0.393232247523
C/C=C/C=C,0,68.12,10.66,0.726368751011
C(C(F)(F)F)OCC(F)(F)F,0,182.06,9.56,3.29391528691
CCC(=O)CC(=O)C,0,114.14,12.53,4.72282633741
CCCC(=O)CC(=O)C,0,128.17,14.52,1.55017826465
CCCCC(=O)CC(=O)C,0,142.2,16.39,1.38819828283
CCCCCC(=O)CC(=O)C,0,156.22,18.09,1.59734640273
CCCC(=O)CC(=O)CC,0,142.2,16.27,1.57671516103
CCCC(=O)CC(=O)CCC,0,156.22,18.32,4.31179410111
CCOC(=O)OCC,0,118.13,11.6,0.2823327549
CCC(CC(C)C)CO,1,130.23,16.26,1.41434635944
CCCC(CC)(CC)O,0,130.23,16.13,1.3421071326
CCC(CC)C(CC)O,1,130.23,16.07,1.48165772341
CCCCCOCCO,0,132.2,15.27,2.27764029582
COP(=O)(OC)OC,0,140.07,11.47,3.53787569554
CCOP(=O)(OCC)OCC,0,182.15,17.31,0.678614665891
CCCOP(=O)(OCCC)OCCC,0,224.23,23.1,3.40132341601
ClCl,0,70.91,4.46,1.3049677291200002e-12
CC#C,0,40.06,5.3,0.879698379177
CCC#C,0,54.09,7.28,0.885430888506
C=CC#C,0,52.07,7.5,0.383240550383
CCCS,0,76.16,9.26,1.62006106074
Cc1ccccc1O,0,108.14,13.08,1.70007297655
c1ccc2c(c1)cccn2,0,129.16,17.03,2.03685325566
COC(=O)c1ccccc1,0,136.15,15.59,1.92306597038
Cc1ccncc1,0,93.13,11.5,2.77035072984
Cc1cccc(n1)C,0,107.15,13.74,1.51413719055
C[Si](C)(C)C,0,88.22,11.96,0.000391918788239
CCCC#C,0,68.12,9.13,0.875741514267
CCCCC#C,0,82.14,11.13,1.08487563985
CCCCCC#C,0,96.17,12.98,0.869044133481
CCCCCCC#C,0,110.2,14.91,1.0788471545
CCCCCCCC#C,0,124.22,16.77,0.879392196034
CCCCCc1ccccc1,0,148.24,20.11,0.559828336616
Cc1cc(cc(c1)C)C,0,120.19,16.58,0.0390299502542
CCCCCCCC(=O)C,0,142.24,17.95,3.01005554857
CCCCCCCCC(=O)C,0,156.27,19.8,3.33508011421
CCCCCCCCCC(=O)C,0,170.29,21.66,3.30090776928
CCCCC(=O)CCCC,0,142.24,17.64,2.76343445636
C=O,0,30.03,2.62,2.22384598163
CC=O,0,44.05,4.61,2.64954009781
CCCCCCC=O,0,114.19,14.04,2.51063270136
CCCCCCCC=O,0,128.21,15.89,2.44137171353
CCCCCCCCC=O,0,142.24,18.15,3.24780852019
CC(C)C=O,0,72.11,8.27,2.7645926598
C/C=C/C=O,0,70.09,8.51,3.41463754337
CCCOC(=O)CC,0,116.16,12.79,1.96100574776
CCCC(=O)OCCC,0,130.18,14.51,1.95346590375
CCCCCOC(=O)CC,0,144.21,16.47,1.74775245974
CC(C)OC=O,0,88.11,9.03,2.24240558534
CCC(=O)OC(C)C,0,116.16,12.7,1.99007638473
CC(C)COC=O,0,102.13,10.83,1.96487072234
CC(C)CCOC=O,0,116.16,12.67,2.09870951059
CC(C)COC(=O)C(C)C,0,144.21,16.33,1.98411736843
C1CCC(C1)O,0,86.13,9.74,1.77114407737
c1ccc(cc1)O,0,94.11,11.05,1.25246316395
c1ccc(c(c1)[N+](=O)[O-])O,0,139.11,14.21,5.7954108968
c1ccc(c(c1)O)Cl,0,128.56,13.37,2.63458311152
CCC(=O)O,0,74.08,7.02,4.13794972439
CCCC(=O)O,0,88.11,8.86,4.01947868785
CCCCC(=O)O,0,102.13,10.81,1.46761701005
CCCCCC(=O)O,0,116.16,12.66,4.51407379729
CCCCCCC(=O)O,0,130.18,,1.61175680206
CCCCCCCC(=O)O,0,144.21,16.46,1.8782015255
CC(C)CC(=O)O,0,102.13,10.76,4.51064394374
CC(C)(C)N,0,73.14,9.58,1.16748039227
CC(C)NC(C)C,0,101.19,13.47,0.921211670922
CN(C)c1ccccc1,0,121.18,16.38,2.31597626118
CCc1ccccn1,0,107.15,13.44,1.7853058983
CCc1cccnc1,0,107.15,13.47,2.50551722737
CCc1ccncc1,0,107.15,13.45,2.81860360289
Cc1ccnc(c1)C,0,107.15,13.7,2.41774709607
Cc1ccc(nc1)C,0,107.15,13.75,2.03302304244
Cc1ccncc1C,0,107.15,13.5,3.00054414868
Cc1cc(cnc1)C,0,107.15,13.66,2.61778772453
CC(C)(C)c1ccncc1,0,135.21,17.12,2.90923123206
CCCCC[N+](=O)[O-],0,117.15,12.53,4.02461213263
Cc1ccccc1[N+](=O)[O-],0,137.14,15.18,4.21729619233
Cc1cccc(c1)[N+](=O)[O-],0,137.14,15.29,4.85561544843
Cc1ccc(cc1)[N+](=O)[O-],0,137.14,15.57,5.32560107028
CCCCCCCl,0,120.62,13.7,1.97666031827
CCCCCCCCl,0,134.65,15.79,2.02153234718
CC(C)Cl,0,78.54,8.26,2.19524143462
CC(C)CCl,0,92.57,10.09,2.09759848602
C(C(Cl)(Cl)Cl)Cl,0,167.85,12.46,1.32172806766
CCCBr,0,122.99,8.88,2.12493435388
CCCCCBr,0,151.04,12.64,2.13410806818
CCCCCCBr,0,165.07,14.59,2.09379348489
CCCCCCCBr,0,179.1,16.67,2.12725293827
CCCCCCCCBr,0,193.12,18.27,2.01599487035
CC(C)Br,0,122.99,9.06,2.27391215757
CCC(C)Br,1,137.02,10.84,2.28878360701
CC(C)CBr,0,137.02,10.88,2.15096547451
C(CBr)Br,0,187.86,10.24,7.47344085038e-13
CCCI,0,169.99,10.6,2.10690045772
CCCCI,0,184.02,12.45,2.08117272912
CCCCCI,0,198.05,14.31,2.07299626262
CCCCCCI,0,212.07,16.27,2.05324492039
CCCCCCCI,0,226.1,18.66,2.33851278357
C(C(F)(Cl)Cl)(F)(F)Cl,0,187.38,10.82,0.437854636327
C(C(F)(F)F)(F)Br,1,180.93,7.52,1.33541713885
C(C(F)(F)F)(Cl)Br,1,197.38,9.41,1.25368776212
C(C(OC(F)F)(F)F)(F)Cl,1,184.49,9.58,1.34424480696
COC(C(Cl)Cl)(F)F,0,164.97,11.12,2.44033761529
C(C(F)(F)F)(OC(F)F)Cl,1,184.49,9.61,2.41118321439
C=COCC(F)(F)F,0,126.08,9.22,2.49955084342
C=CCCl,0,76.52,8.16,1.9609590131
C=CCBr,0,120.98,8.99,1.96730512514
C=CCI,0,167.98,10.86,1.84952643835
Cc1ccccc1Cl,0,126.58,14.46,1.38394729081
Cc1ccccc1Br,0,171.03,15.3,1.42422593314
Cc1cccc(c1)Br,0,171.03,15.45,1.96443994396
Cc1ccc(cc1)Br,0,171.03,15.53,2.1796449182
CCCCS,0,90.19,11.13,1.54496042388
CCSCC,0,90.19,11.38,1.56226666886
CCCSCCC,0,118.24,15.28,1.42714313205
CC(C)SC(C)C,0,118.24,15.11,1.62482011392
CSSC,0,94.2,10.68,1.96920818319
CCSSCC,0,122.25,14.62,2.0199829945
Cc1cccs1,0,98.17,11.44,0.663368457284
c1ccc(cc1)S,0,110.18,13.73,0.949171664722
CC(=O)C(=O)C,0,86.09,8.47,0.12684941345
CC(=O)COC,0,88.11,9.18,2.87001305625
CCC(C)Cl,1,92.57,10.12,2.26520362437
CN1CCCCC1,0,99.17,12.69,0.297605930486
c1ccc(cc1)C(=O)O,0,122.12,13.34,4.73506580929
C1COCCN1,0,87.12,9.52,1.1784763734
C(F)(Cl)(Cl)Cl,0,137.37,8.73,0.35279917111
C=Cc1ccccc1,0,104.15,14.84,0.213962060337
COC(=O)C=C,0,86.09,8.91,2.17471447242
c1ccoc1,0,68.07,7.08,0.589142976393
C(C(F)(F)F)F,0,102.03,4.77,1.9523496703
C=CCCCCC=C,0,110.2,15.54,0.347746643875
C=CC1CCC=CC1,1,108.18,14.47,0.279542457834
Cc1ccc(cc1)C(C)C,0,134.22,18.39,0.0888034167658
CC(=C)c1ccccc1,0,118.18,16.48,0.355625127488
CC(=CC(C)(C)C)C,0,112.21,15.67,0.392686439334
C1C=CCC=C1,0,80.13,10.32,0.000140632930032
C=CCCCC=C,0,96.17,13.7,0.228890968879
[O-][O+]=O,0,48.0,2.71,0.622634265952
CCC1CO1,1,72.11,8.04,1.92664291725
C(C(CCl)O)Cl,0,128.99,10.91,2.09305442398
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0,394.76,,
C1CCOC(=O)C1,0,100.12,9.98,4.80025028142
CCOC(=O)CC(=O)C,0,130.14,13.27,2.18757940939
CCOC(=O)C(F)(F)F,0,142.08,9.31,3.28661693254
CCOC(=O)C(Cl)(Cl)Cl,0,191.44,15.16,2.83194095764
CC(=N)O,1,59.07,6.05,2.99370662932
