Solvent,Solute,logK,deltaG_solv
CO,c1ccccc1,2.77,-0.16387
CC(C)CC(C)(C)C,Cc1ccccc1N,4.67,-0.27627
C(Cl)(Cl)(Cl)Cl,CN(C)C,2.25,-0.13311
CCOC(=O)C,CCCCCCCC,3.45,-0.2041
C(CCl)Cl,C1CCC(=O)C1,4.59,-0.27154
CCCCCCCCO,CCC(=O)OCC,3.15,-0.18635
c1ccc(cc1)F,Cc1ccccc1,3.83,-0.22658
C1CCC(=O)CC1,CC=C(C)C,2.264,-0.13394
CC(C)OC(C)C,C(CCl)Cl,2.843,-0.16819
Cc1ccc(cc1)C,C(Cl)(Cl)(Cl)Cl,3.19,-0.18872
CCCCCCC,FS(F)(F)(F)(F)F,0.227,-0.01343
C1COCCO1,C(CCl)Cl,3.65,-0.21593
CCCCCCCCCCCCCCCC,C1CCCC1,2.447,-0.14476
C1COCCO1,CC(=O)C,2.84,-0.16801
CCCCCCCCO,CCCCO,4.19,-0.24788
CO,CCCCOCCCC,3.64,-0.21534
CCCCCCCC,CCOC(=O)C,2.49,-0.14731
CC(=O)C,CCCCCC,2.37,-0.14021
CCCCCC,CCC(C)(C)C,2.67,-0.15796
Cc1ccc(cc1)C,[Kr],-0.125,0.00739
CCCCCCCCCCCCCCCC,CC(C)Br,2.391,-0.14145
C(Cl)Cl,CC(C)C(C)C(C)C,3.473,-0.20546
C(Cl)(Cl)(Cl)Cl,C1CCC(=O)CC1,4.57,-0.27036
CCCCCCCCO,COC=O,1.75,-0.10353
CCCCCCCCCCCCCCCC,C(Cl)(Cl)(Cl)Cl,2.823,-0.16701
CCc1ccccc1,Cc1ccc(o1)C=O,4.944,-0.29248
CS(=O)C,CCC(=O)C,3.147,-0.18617
C1COCCN1C=O,Cc1ccc(cc1)C,3.65,-0.21593
CCCC#N,CCC1CCCCC1,3.335,-0.1973
CC#N,CCCC(C)C,1.818,-0.10755
C1CCOC1,CC(C)CC(C)C,3.03,-0.17925
CCCCO,CC(C)CO,4.21,-0.24906
C(CCl)Cl,CCCCC(=O)O,4.75,-0.28101
c1ccc(cc1)Cl,C[Sn](C)(C)C,2.96,-0.17511
CCC(C)O,COC,1.54,-0.09111
CCCCCCC,C(=O)=O,0.3,-0.01775
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)I,5.15,-0.30467
CC(=O)C,C,-0.22,0.01302
CCCCOP(=O)(OCCCC)OCCCC,C(Cl)(Cl)Cl,3.61,-0.21357
CC(C)(C)OC,CN1CCCCC1,3.52,-0.20824
CCCCCCCCO,CCC[N+](=O)[O-],3.25,-0.19227
CCCCCC,CCCO,2.211,-0.1308
CCC(C)O,CC,0.45,-0.02662
c1ccc(cc1)N,CC(C)C,0.788,-0.04662
CCCCCCCCCCO,CC(C)CCO,4.528,-0.26787
CCN(CC)CC,C[N+](=O)[O-],2.533,-0.14985
CCCCCCC,II,3.415,-0.20203
CCCCCCCCCO,CCCCCCCCO,6.197,-0.36661
CC(=O)C,C[N+](=O)[O-],3.88,-0.22954
CCCCCC,CCC(C)O,2.607,-0.15423
CCO,CC(C)CC(C)C,2.43,-0.14376
CCCCCC,CCCCCCCCC,4.51,-0.26681
CN1CCCC1=O,N#N,-1.25,0.07395
CO,CCO,3.89,-0.23013
C1COCCO1,FS(F)(F)(F)(F)F,-0.39,0.02307
CCCCCCCCCCCCCCCC,CCCCCO,3.106,-0.18375
CCCCOCCCC,CCCCCCC,3.38,-0.19996
CCCCCCC,CCCO,2.19,-0.12956
CCC(C)CO,CCCl,1.76,-0.10412
CCCCO,C1COCCO1,3.35,-0.19818
CCCCCC,Cc1ccccc1N,4.49,-0.26563
C1COCCN1C=O,CC1CCCCC1,2.16,-0.12778
CCOCC,[C-]#[O+],-0.4,0.02366
CCCCC,[Ne],-1.06,0.06271
CCc1ccccc1,CCC(=O)C,3.018,-0.17854
CC(C)CO,CCC(=O)C,2.99,-0.17689
CO,C#C,1.04,-0.06153
CCCCCC,CCCCCl,2.95,-0.17452
C(Cl)(Cl)Cl,c1cc(ccc1Cl)Cl,4.63,-0.27391
CCOC(=O)C,C(CCl)Cl,3.46,-0.20469
CN1CCCC1=O,CC(=C)C=C,2.1,-0.12423
CCCCCCCCCC,CCC(C(C)(C)C)O,3.553,-0.21019
CC(C)CC(C)(C)C,CCOC(=O)C,2.586,-0.15299
C1COCCN1C=O,C/C=C/C=O,3.44,-0.20351
C(Cl)(Cl)(Cl)Cl,C=CCO,2.6,-0.15381
C1CCC(=O)CC1,C(=O)=O,0.576,-0.03408
C(Cl)(Cl)(Cl)Cl,CO,1.643,-0.0972
CC(=O)C,C1CCCCC1,2.6,-0.15381
c1ccc(cc1)Cl,CCCCCl,3.19,-0.18872
CCCCCC,CC[N+](=O)[O-],2.51,-0.14849
CCCCCCCCCCCCCCCC,CCCCO,2.601,-0.15387
C(Cl)(Cl)(Cl)Cl,C(=O)=O,0.445,-0.02633
CCCCOCCCC,CCCCCC(=O)C,4.21,-0.24906
C(Cl)(Cl)Cl,CCCCP(=O)(CCCC)CCCC,11.21,-0.66318
CCOCC,CCN(CC)CC,3.26,-0.19286
CCCCCCCC,CCCC(C)(C)O,3.364,-0.19901
Cc1cccc(c1)C,O=O,-0.624,0.03692
CCCO,[N-]=[N+]=O,0.44,-0.02603
C(Cl)(Cl)(Cl)Cl,Cl[Ge](Cl)(Cl)Cl,3.13,-0.18517
Cc1ccccc1,C1CCOC1,3.218,-0.19037
C(=O)N,CCCCCCCC,0.93,-0.05502
CO,C=CC=C,1.57,-0.09288
CC(=O)OC,C(Cl)(Cl)Cl,3.424,-0.20256
CCCCO,CCC1CCCCC1,3.442,-0.20363
CCCCOP(=O)(OCCCC)OCCCC,C[C@@H]1CCCC[C@@H]1C,3.42,-0.20232
Cc1ccccc1,CCCCO,3.326,-0.19676
CCCOCCO,c1ccc(cc1)Cl,3.92424463533,-0.23216
CC(C)(C)O,c1ccc(cc1)CCl,4.45,-0.26326
CCOCCO,Cc1ccc(cc1)C,3.808,-0.22528
CCC(C)O,CCCCCl,2.73,-0.16151
C(Cl)(Cl)Cl,c1cc(ccc1N)Cl,6.42,-0.3798
c1ccc(cc1)I,CCC,1.11,-0.06567
CCCCCCCCCC,Cc1ccccc1N,4.87,-0.28811
C/C(=N/C)/O,C/C=C\C=C,2.12,-0.12542
CCC(=O)C,c1ccccc1,3.29,-0.19463
C(Cl)(Cl)Cl,c1ccc(cc1)CC#N,5.95,-0.352
C1COCCN1C=O,CC(=O)OC,2.66,-0.15736
c1ccc(cc1)N,CCCCCCCC,2.585,-0.15293
C(Cl)(Cl)Cl,C(Cl)Cl,2.69,-0.15914
CCC(C)O,FS(F)(F)(F)(F)F,-0.19,0.01124
c1ccc(cc1)Cl,C(=O)=O,0.37,-0.02189
C(Cl)(Cl)Cl,c1ccc(c(c1)O)F,4.45,-0.26326
CCCCCCCCCCCCCCCC,CCCCCCI,4.62,-0.27332
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccccc1C,4.09,-0.24196
c1ccc(cc1)Br,CCC(C)O,3.04,-0.17984
C1COCCO1,c1ccc(cc1)I,5.29,-0.31295
C(Cl)(Cl)Cl,CCC(=N)O,5.48,-0.32419
C(Cl)(Cl)Cl,[C-]#[O+],-0.71,0.042
CN1CCCC1=O,C/C=C/C=O,3.66,-0.21652
C(Cl)(Cl)(Cl)Cl,CCCOCCC,3.54,-0.20942
COCCO,C=CCCCCC=C,2.999,-0.17742
Cc1ccccc1,CC(C)C,1.55,-0.0917
CCc1ccccc1,CCCCCO,3.8,-0.22481
CC(=O)O,O=O,-0.71,0.042
CCCCOCCCC,c1ccccc1,3.01,-0.17807
CCCCCCCCCCCC,CCCCC(CCC)O,4.41,-0.26089
CCCCCCCCCCCCCCCC,Cc1ccc(cc1)O,4.307,-0.2548
CCCCCCCCO,C(Cl)(Cl)(Cl)Cl,2.79,-0.16505
CC(=O)C,[He],-1.45,0.08578
C(=O)N,CCCCCCC,0.66,-0.03905
CCCOCCO,c1ccc(cc1)Br,4.33625118484,-0.25653
CCCCCCCCO,C1CCC(=O)C1,3.67,-0.21711
c1ccc(cc1)Cl,CCCCCC(=O)C,4.74,-0.28042
C1COCCO1,CC[Si](CC)(CC)CC,3.89,-0.23013
CCCCCCCCCCCCCCCC,CC(=O)C,1.76,-0.10412
CCCCO,CC,0.46,-0.02721
CCCCO,CC(F)F,1.0,-0.05916
c1ccc(cc1)Br,C(=O)=O,0.26,-0.01538
c1ccc(cc1)Br,CCC,1.05,-0.06212
CCCC(C)O,CCCO,3.916,-0.23167
CN1CCCC1=O,CCCCCC,1.99,-0.11773
CCCCCCCCCC,CCC(=O)C,2.4,-0.14198
CCOCCO,CC(C)O,3.571,-0.21126
CS(=O)C,CC(C)CC(C)C,1.441,-0.08525
CN(C)C=O,CCC=C(C)C,2.29,-0.13547
C(=S)=S,CCCCCCC,3.477,-0.2057
CCCCCCCCCCCCCCCC,CCCCCC#C,3.0,-0.17748
C(Cl)(Cl)(Cl)Cl,[N-]=[N+]=O,0.63,-0.03727
CCCCCCCCCCCCCCCC,CCCCCN,3.086,-0.18257
C(CCl)Cl,C(C(Cl)Cl)Cl,4.01,-0.23723
CCCO,CCO,3.51,-0.20765
CCCCCCCCCCCCCCCC,CCCC(=O)O,2.83,-0.16742
CS(=O)C,C[N+](=O)[O-],4.1,-0.24255
CCCCCCCCCC,CC(=C)C,1.729,-0.10229
CCOC(=O)C,C(=S)=S,2.29,-0.13547
CCO,FS(F)(F)(F)(F)F,-0.12,0.0071
CC(C)CC(C)(C)C,CCCCC(=O)C,3.46,-0.20469
CC(CO)O,C1CCCCC1,1.796,-0.10625
CCCCOC(=O)C,CCCCCCCCCCCCCCCCCC,8.75,-0.51764
c1ccc(cc1)[N+](=O)[O-],CCCCCC,2.166,-0.12814
CCCCCCCCCCCCCCCC,CC(C)[N+](=O)[O-],2.55,-0.15086
CC(=O)N(C)C,Cc1ccccc1,3.65,-0.21593
CCCCCCCCCCO,[HH],-1.34,0.07927
C(Cl)(Cl)Cl,CC(=O)c1ccc(cc1)N,8.14,-0.48156
C(=O)N,CC(C)CC(=O)C,3.07,-0.18162
c1ccc(cc1)Cl,CC(C)(C)Cl,2.61,-0.15441
CCCCCO,CCCCCCCC,3.39,-0.20055
CCCCCCCC,C1CCOC1,2.68,-0.15855
CN(C)C=O,CC(=C)C(=C)C,2.59,-0.15322
C(Cl)(Cl)Cl,c1ccc2cc(ccc2c1)Cl,6.62,-0.39163
CCN(CC)CC,CC(C)CC(C)C,3.095,-0.1831
CCCCO,C(CCl)Cl,2.92,-0.17275
CCCCCCCCCCC,C(C(Cl)Cl)(Cl)Cl,3.72,-0.22007
CCCCCCCC,CCCCOC(=O)C,3.591,-0.21244
CCCCOCCCC,CCOCC,2.43,-0.14376
C/C(=N/C)/O,CCCCCCC,2.45,-0.14494
CC(C)CC(C)(C)C,CCC(C)(C)OC,3.109,-0.18393
CCC(=O)C,CCCC(C)C,2.39,-0.14139
C1COCCO1,CC#N,3.21,-0.1899
CC(C)O,N,1.74,-0.10294
CCCCCCCCCCCCCCCC,C(C(F)(F)F)(C(F)(F)F)O,1.392,-0.08235
CCCCCCCCO,CCC,0.97,-0.05738
CC(C)OC(C)C,CC(C)C(=O)C,3.148,-0.18623
CCCCO,c1ccc(cc1)CCl,4.47,-0.26444
C1CCOC1,CC1CCCCC1,3.42,-0.20232
C(I)I,CCCCc1ccccc1,4.31,-0.25498
CC(=O)N(C)C,CCCCOC(=O)C,3.84,-0.22717
CC(=O)O,S,1.096,-0.06484
C(CCl)Cl,CC(C)CCC(C)C,3.1,-0.18339
CN(C)C=O,c1ccc(cc1)F,3.48,-0.20587
C(=O)N,CO,3.3,-0.19523
CCCCCCO,C(Cl)(Cl)(Cl)Cl,2.812,-0.16636
CC(C)(C)OC,C1CCCC1,2.6,-0.15381
C(Cl)Cl,c1ccc(cc1)Cl,4.325,-0.25586
CCCCCCCCCCCCCCCC,CCCC(=O)C,2.755,-0.16298
CC(=O)C,CCC(=O)C,3.42,-0.20232
CC(C)CC(C)(C)C,CCI,2.648,-0.15665
CC(C)CC(C)(C)C,CCCCC,2.371,-0.14027
c1ccc(cc1)N,[HH],-1.545,0.0914
CCCCCCCCCCCC,O=O,-0.61,0.03609
c1ccc(cc1)N,[Xe],-0.277,0.01639
CC(C)O,CCOC(=O)C,2.86,-0.1692
CCC(C)O,CCCCC,1.94,-0.11477
c1ccncc1,CCc1ccccc1,4.222,-0.24977
CC(=O)N(C)C,CC(C)(C)OC,2.41,-0.14257
CCCCCCCCCCCC,CCCC=C,2.14,-0.1266
CC(CO)O,Cc1cccc(c1)C,2.965,-0.17541
CCCCCCCCCCC,C(CCl)OCCCl,4.23,-0.25024
CCOC(=O)C,O=O,-0.66,0.03905
CO,CCCCCCCO,5.57,-0.32952
CCCCOP(=O)(OCCCC)OCCCC,CCCC1CCCCC1,3.52,-0.20824
CCC(=O)C,CCCOCCC,3.2,-0.18931
C(Cl)(Cl)(Cl)Cl,CCCCOC(=O)c1ccccc1O,7.13,-0.42181
C(Cl)(Cl)(Cl)Cl,C(C(F)(Cl)Cl)(F)(F)Cl,2.4,-0.14198
C(=O)N,CCCOC(=O)C,2.73,-0.16151
CC(=O)C,[Ne],-1.28,0.07572
C1CCOC1,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,8.09,-0.4786
c1ccc(cc1)Cl,II,4.26,-0.25202
CN(C)C=O,c1ccc2ccccc2c1,5.83,-0.3449
CCCCCCCCCC,C(F)(F)(F)F,-0.632,0.03739
CC(C)CCO,[Rn],0.881,-0.05212
CCCCCC,CCCCCCl,3.506,-0.20741
CCBr,CCCCCCCC,3.902,-0.23084
CCCCCCCCC,CCCCC,2.33,-0.13784
CC1COC(=O)O1,CC(C)OC(C)C,2.13,-0.12601
Cc1ccc(cc1)C,CCC(=O)C,3.096,-0.18316
CCCCC,[Ar],-0.22,0.01302
CCCCCCCCCCCCCCCC,C=CCI,3.01,-0.17807
CCCCCCCCCCCO,[Kr],-0.274,0.01621
CCCCCCO,CC,0.427,-0.02526
CO,CCCCCCCCC,3.23,-0.19108
CC(C)CC(C)(C)C,C1COCCO1,2.946,-0.17428
C(Cl)(Cl)(Cl)Cl,C[Sn](C)(C)C,3.24,-0.19168
C(Cl)(Cl)Cl,C=CCO,3.18,-0.18813
C1CCOCC1,CC(C)C,1.62,-0.09584
COCCO,C=CC1CCC=CC1,3.246,-0.19203
CCOCC,CCI,2.76,-0.16328
CCC(=O)C,CCBr,2.59,-0.15322
CC1COC(=O)O1,CC1CCCC1,1.77,-0.10471
C(=O)N,CCC,-0.14,0.00828
C1COCCO1,Cc1ccccc1,3.81,-0.2254
c1ccc(cc1)Br,N#N,-1.13,0.06685
CC(C)(C)OC,CC#N,2.69,-0.15914
CN(C)C=O,CCCCCCCCCCC,4.08,-0.24137
C1CCOC1,C,-0.18,0.01065
C(Cl)(Cl)Cl,CCCc1ccc(cc1)N,6.97,-0.41234
C(Cl)(Cl)(Cl)Cl,C,-0.14,0.00828
CCCCCCCCO,CCC#N,2.69,-0.15914
CN(C)C=O,C=CC=C,1.68,-0.09939
CCC(=O)C,c1ccncc1,3.94,-0.23309
CCCCCC,CC(CCl)Cl,3.055,-0.18073
C(Cl)Cl,CCCCOC,3.453,-0.20428
CCOCCO,Cc1cccc(c1)C,3.838,-0.22705
CCCC(C)O,C=CC=C,1.52,-0.08992
CCCCCCCCCCCCCCCC,CCCCCCCC,3.677,-0.21753
CO,CC(C)C,1.07,-0.0633
CCCCCCCCO,C(Cl)Cl,2.27,-0.13429
CCCCCCCCO,CCC(C)(C)OC,2.98,-0.17629
c1ccc(cc1)I,O=O,-0.95,0.0562
CCCCCCCCCC,C,-0.177,0.01047
C(Cl)(Cl)Cl,CC(=O)c1cccc(c1)N,8.13,-0.48097
CCCCCCCCO,CCCCCC,2.44,-0.14435
CCCCCCC,CCCC(C)C,2.76,-0.16328
C(=O)N,C(Cl)(Cl)(Cl)Cl,1.59,-0.09406
C(I)I,CCCCCCCCCC,3.37,-0.19937
CC(=O)N(C)C,CI,2.66,-0.15736
CN(C)C=O,CN(C)C,1.77,-0.10471
CCN(CC)CC,CCCCCCCC,3.941,-0.23315
CCCCOP(=O)(OCCCC)OCCCC,CCCC,1.42,-0.08401
Cc1ccccc1,CCCCCCCO,4.947,-0.29266
CC(=O)C,C=C,0.56,-0.03313
CCCCCCCCCC,FS(F)(F)(F)(F)F,0.041,-0.00243
CCCCCCCC,CCCN,2.198,-0.13003
CCCCCC,C1CC1,1.45,-0.08578
CCCCO,c1ccccc1,2.87,-0.16979
Cc1ccccc1,CC(C)CCC(C)C,3.476,-0.20564
CC(C)CC(C)(C)C,c1ccc2c(c1)cccn2,5.234,-0.30964
CCCCCCCCCCCCCCCC,CC(C)OC(C)C,2.559,-0.15139
CCC(=O)C,N#N,-0.79,0.04674
CC(C)CO,CCCl,1.78,-0.1053
c1ccc(cc1)N,CCI,2.727,-0.16133
CCCCCC,CC(C)CC(C)C,3.21,-0.1899
C(Cl)(Cl)Cl,c1ccc(cc1)Cl,4.22,-0.24965
CCCCCl,CC(=O)C,2.654,-0.15701
CCOCC,C1CCCCC1,3.07,-0.18162
Cc1ccccc1,O,1.239,-0.0733
C(Cl)(Cl)Cl,CC(C)CCC(C)C,3.564,-0.21084
CC1COC(=O)O1,O=S=O,2.38,-0.1408
CCC(C)O,c1ccccc1,2.77,-0.16387
C(CCl)Cl,CCCO,3.18,-0.18813
CCCCCCCCCC,CCCCCCO,3.661,-0.21658
CC(C)COC(=O)C,[HH],-1.091,0.06454
CCCO,C(C(F)(Cl)Cl)(F)(Cl)Cl,2.67,-0.15796
CCCC#N,CCCCCCCCC,3.65,-0.21593
C(Cl)(Cl)Cl,CCCCC(C)(C)O,4.906,-0.29024
CCCCOP(=O)(OCCCC)OCCCC,CC,0.4,-0.02366
CC(=O)C,C#C,1.34,-0.07927
CCCCCCCCCCCCCCCC,CCc1ccncc1,4.14,-0.24492
CCCCCO,CCC,0.97,-0.05738
C1CCC(=O)OCC1,C1CCOC1,2.861,-0.16925
CCCCCCC,CCCCCO,3.3,-0.19523
C1CC(=O)OC1,CCCCCCCC,2.36,-0.13962
CCc1ccccc1,[HH],-1.187,0.07022
CC(=O)c1ccccc1,CC(=C)C=C,2.148,-0.12707
c1ccc(cc1)N,[C-]#[O+],-1.276,0.07549
CC(C)(C)OC,CCCCCCC,3.43,-0.20292
CCCCOCCO,c1ccc(cc1)F,3.15,-0.18635
CCCCCCCCCC,[Ne],-1.364,0.08069
CCCCCCCCCCCCCCCC,CCC(=O)C,2.87,-0.16979
CC(C)(C)OC,C(CCl)Cl,3.186,-0.18848
CC(=O)C,CCCCCl,3.12,-0.18458
CCCCCCCCCO,[Ne],-1.594,0.0943
CN1CCCC1=O,CCC=C(C)C,2.24,-0.13252
C(=O)N,Cc1ccccc1C,2.6,-0.15381
C/C(=N/C)/O,Cc1ccccc1,3.35,-0.19818
CCCCCCCCCCCCCCCC,CC(C)(C)O,2.019,-0.11944
CC(=O)N(C)C,FS(F)(F)(F)(F)F,-0.56,0.03313
C1COCCO1,C=CC=C,1.49,-0.08815
Cc1ccccc1C,CC(C)C,1.495,-0.08844
c1ccncc1,CC(C)CCC(C)C,2.96,-0.17511
CCCCOC(=O)C,CCC(C)O,3.59,-0.21238
c1ccc(cc1)Br,[Ne],-1.74,0.10294
CCCO,CC(F)F,1.09,-0.06448
CCCCCO,c1ccc(cc1)Cl,3.82,-0.22599
CCCCC,CC(C)C,1.75,-0.10353
CC(C)CC(C)(C)C,Cc1cccnc1,3.64,-0.21534
C1CCCCCCC1,[He],-1.826,0.10802
CC(=O)C,C(Cl)(Cl)(Cl)Cl,3.04,-0.17984
CCCCCl,CC#N,2.662,-0.15748
C1CCOC1,C(=O)=O,0.82,-0.04851
CCCCCC,II,3.424,-0.20256
C(Cl)(Cl)(Cl)Cl,c1cc(ccc1N)O,6.06,-0.35851
CCCO,C1CCCCC1,2.55,-0.15086
CCC(C)O,CC(C)C,1.31,-0.0775
C(=O)N,CCCCC=C,0.67,-0.03964
CN(C)C=O,CCCCCCC#C,3.65,-0.21593
CCCCCCCCCC,CC=C,1.233,-0.07294
CC(C)(C)O,[cH-]1cccc1.[cH-]1cccc1.[Fe+2],5.38,-0.31828
CC(C)O,CCCOCCC,2.95,-0.17452
C(Cl)(Cl)Cl,CCCCCCCO,5.5,-0.32538
c1ccc(cc1)Br,CCCCO,2.99,-0.17689
CCCCCC,CC[Si](CC)(CC)CC,4.64,-0.2745
c1ccc(cc1)C#N,CCC#N,3.532,-0.20895
c1ccc(cc1)[N+](=O)[O-],CCCC(C)C,2.013,-0.11909
CC#N,C1CCCCC1,2.208,-0.13062
CN(C)C=O,O,4.07,-0.24078
CCOC(=O)C,CC(C)O,3.03,-0.17925
CC(=O)O,C[N+](=O)[O-],3.547,-0.20984
CCOCC,[Rn],1.115,-0.06596
CCCCCC,[Kr],0.118,-0.00698
C(=O)N,C1CCC=CC1,1.37,-0.08105
c1ccc(cc1)N,CC1CCCCC1,2.429,-0.1437
C(Cl)Cl,CC(=O)C,3.387,-0.20037
C(CCl)Cl,c1ccncc1,4.16,-0.2461
Cc1ccccc1,CC(=O)C,2.581,-0.15269
CCCCCCCCCCC,CC(Cl)Cl,2.1,-0.12423
CC(=O)OC,C=C,0.547,-0.03236
CC(=O)c1ccccc1,CCCCCCC,2.706,-0.16009
c1ccc(cc1)Cl,CC#N,2.74,-0.1621
C(Cl)Cl,N#N,-0.884,0.0523
CCCCCCCCCCCCCCCC,CCCCCCC,3.173,-0.18771
C/N=C/O,CC(C)C=C,1.28,-0.07572
CCCCCCCCCCCCCCCC,CCCC(CC)O,3.44,-0.20351
CCO,CCCCCCCCCC,3.92,-0.2319
Cc1ccccc1,C(=O)=O,0.37,-0.02189
CCCCCCCCCCCCCCCC,c1ccc(cc1)Br,4.035,-0.23871
CCCCCCCCCCO,CCCO,3.515,-0.20795
CCCO,C[N+](=O)[O-],2.85,-0.1686
CCCCCl,C(Cl)Cl,2.599,-0.15376
CCCCCCCCCCCC,CCC1CCCCC1,3.81,-0.2254
C(=O)N,CCCCCC=O,2.95,-0.17452
CCCCCC,CC(=O)C,1.963,-0.11613
C(=O)N,CCC1CCCCC1,1.33,-0.07868
C/C(=N/C)/O,CC(=C)C=C,2.01,-0.11891
CC(C)CC(C)(C)C,Cc1ccccn1,3.44,-0.20351
C1CCOCC1,CCCC,1.79,-0.1059
CC(C)O,CC(=O)OC,2.46,-0.14553
CC(C)CO,[Rn],0.88,-0.05206
CCCCCO,C,-0.33,0.01952
CCCCCC,c1ccc(cc1)Br,4.148,-0.24539
CCCCCCCCCCCCCCCC,COc1ccccc1,3.926,-0.23226
CCCCCCCCCCCCCCCC,CCc1ccccn1,3.9,-0.23072
CCCCCCCCO,CCCCCC(=O)C,4.15,-0.24551
C1COCCO1,c1ccc(c(c1)Cl)Cl,5.14,-0.30408
CCCCOCC,C1CCCCC1,2.984,-0.17653
CCO,O,3.72,-0.22007
